model,loss,acc,TP_C,TP
model_spNO.1.pth,1.7409119606018066,0.1,"[2, 0, 0, 1, 0, 2, 5]","[0, 0, 0, 1, 0, 0, 0]"
model_spNO.2.pth,2.5593048453330995,0.0,"[2, 3, 0, 0, 0, 3, 2]","[0, 0, 0, 0, 0, 0, 0]"
model_spNO.3.pth,3.2111210708434763,0.3077,"[0, 0, 4, 0, 1, 5, 3]","[0, 0, 0, 0, 0, 3, 1]"
model_spNO.5.pth,3.017419695854187,0.0,"[0, 0, 0, 1, 0, 5, 0]","[0, 0, 0, 0, 0, 0, 0]"
model_spNO.6.pth,2.7151870727539062,0.0,"[1, 1, 0, 1, 0, 1, 1]","[0, 0, 0, 0, 0, 0, 0]"
model_spNO.7.pth,1.77390918135643,0.25,"[0, 1, 0, 2, 1, 0, 0]","[0, 1, 0, 0, 0, 0, 0]"
model_spNO.8.pth,3.2767481525739033,0.2,"[2, 2, 5, 1, 1, 0, 4]","[0, 0, 0, 0, 0, 0, 3]"
model_spNO.9.pth,2.657039483388265,0.0,"[0, 0, 2, 0, 0, 1, 0]","[0, 0, 0, 0, 0, 0, 0]"
model_spNO.10.pth,2.7842506736516954,0.1333,"[1, 2, 0, 2, 2, 4, 4]","[0, 0, 0, 0, 0, 0, 2]"
model_spNO.11.pth,4.081329112127423,0.25,"[0, 2, 1, 5, 3, 2, 7]","[0, 0, 0, 3, 0, 1, 1]"
model_spNO.12.pth,3.973451614379883,0.0,"[0, 0, 0, 1, 1, 0, 3]","[0, 0, 0, 0, 0, 0, 0]"
model_spNO.13.pth,3.3771854400634767,0.0,"[0, 1, 2, 0, 0, 0, 2]","[0, 0, 0, 0, 0, 0, 0]"
model_spNO.14.pth,2.5921677350997925,0.0,"[0, 0, 1, 1, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]"
model_spNO.15.pth,3.802531398832798,0.125,"[4, 0, 0, 0, 2, 0, 2]","[0, 0, 0, 0, 0, 0, 1]"
model_spNO.17.pth,1.6301963506266475,0.6667,"[0, 0, 0, 1, 0, 1, 1]","[0, 0, 0, 1, 0, 1, 0]"
model_spNO.39.pth,1.7702986299991608,0.4,"[0, 0, 0, 0, 0, 3, 2]","[0, 0, 0, 0, 0, 2, 0]"
model_spNO.40.pth,2.1360914044910007,0.2222,"[2, 0, 0, 2, 1, 0, 4]","[1, 0, 0, 0, 0, 0, 1]"
model_spNO.41.pth,0.05226747319102287,1.0,"[0, 0, 0, 1, 0, 0, 0]","[0, 0, 0, 1, 0, 0, 0]"
model_spNO.42.pth,2.7325312833612165,0.3333,"[1, 3, 0, 6, 1, 3, 1]","[0, 0, 0, 3, 0, 2, 0]"
model_spNO.77.pth,2.4528954699635506,0.25,"[1, 3, 1, 2, 1, 0, 0]","[0, 0, 0, 1, 1, 0, 0]"
model_spNO.138.pth,1.4917699098587036,0.0,"[0, 0, 0, 0, 0, 1, 0]","[0, 0, 0, 0, 0, 0, 0]"
model_spNO.139.pth,2.6848742961883545,0.0,"[0, 0, 1, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]"
model_spNO.142.pth,3.4653399139642715,0.0625,"[1, 0, 2, 4, 6, 1, 2]","[0, 0, 0, 1, 0, 0, 0]"
model_spNO.143.pth,1.0894471406936646,0.5,"[0, 0, 0, 0, 0, 0, 2]","[0, 0, 0, 0, 0, 0, 1]"
model_spNO.144.pth,4.482352365668003,0.2308,"[1, 1, 3, 2, 2, 3, 1]","[0, 0, 0, 1, 0, 2, 0]"
model_spNO.145.pth,2.917048990726471,0.5,"[1, 0, 0, 0, 0, 1, 0]","[0, 0, 0, 0, 0, 1, 0]"
model_spNO.146.pth,5.756546974182129,0.0,"[0, 1, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]"
model_spNO.147.pth,1.9326895698904991,0.5,"[0, 0, 0, 0, 1, 2, 1]","[0, 0, 0, 0, 0, 2, 0]"
model_spNO.148.pth,1.46804512006327,0.4828,"[0, 6, 0, 18, 1, 4, 0]","[0, 1, 0, 10, 0, 3, 0]"
model_spNO.149.pth,3.1116076469421388,0.2,"[0, 1, 0, 1, 0, 1, 2]","[0, 0, 0, 1, 0, 0, 0]"
model_spNO.150.pth,3.082967422157526,0.3333,"[1, 2, 0, 3, 1, 5, 3]","[1, 0, 0, 3, 0, 1, 0]"
model_spNO.152.pth,2.4400112628936768,0.0,"[0, 0, 0, 0, 0, 1, 0]","[0, 0, 0, 0, 0, 0, 0]"
model_spNO.153.pth,2.2983603929169476,0.4167,"[1, 4, 0, 2, 0, 4, 1]","[1, 0, 0, 1, 0, 2, 1]"
model_spNO.154.pth,3.4189729392528534,0.0,"[0, 0, 1, 1, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]"
model_spNO.155.pth,2.777357891201973,0.5,"[0, 0, 1, 0, 0, 0, 1]","[0, 0, 0, 0, 0, 0, 1]"
model_spNO.157.pth,4.461522974073887,0.3333,"[0, 1, 2, 2, 0, 1, 0]","[0, 0, 0, 2, 0, 0, 0]"
model_spNO.159.pth,1.9740046262741089,0.0,"[0, 0, 0, 0, 0, 0, 1]","[0, 0, 0, 0, 0, 0, 0]"
model_spNO.160.pth,2.6110231776051878,0.4386,"[1, 11, 6, 19, 3, 17, 0]","[0, 0, 2, 10, 1, 12, 0]"
model_spNO.161.pth,1.3984260559082031,0.0,"[0, 0, 0, 0, 0, 1, 0]","[0, 0, 0, 0, 0, 0, 0]"
model_spNO.162.pth,1.7990654706954956,0.375,"[0, 0, 0, 6, 1, 1, 0]","[0, 0, 0, 3, 0, 0, 0]"
model_spNO.163.pth,8.293466567993164,0.0,"[1, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]"
model_spNO.165.pth,1.7751795113086701,0.5,"[0, 1, 0, 6, 1, 1, 1]","[0, 0, 0, 4, 0, 1, 0]"
model_spNO.166.pth,2.5356299430131912,0.5,"[0, 0, 0, 0, 0, 2, 2]","[0, 0, 0, 0, 0, 2, 0]"
model_spNO.167.pth,0.9564161896705627,0.75,"[0, 0, 0, 1, 0, 3, 0]","[0, 0, 0, 0, 0, 3, 0]"
model_spNO.168.pth,1.4617815017700195,0.0,"[0, 0, 0, 0, 0, 0, 1]","[0, 0, 0, 0, 0, 0, 0]"
model_spNO.169.pth,2.6749466818414236,0.4211,"[0, 0, 0, 8, 0, 6, 5]","[0, 0, 0, 0, 0, 4, 4]"
model_spNO.170.pth,2.642938107252121,0.5,"[0, 0, 0, 0, 1, 0, 1]","[0, 0, 0, 0, 0, 0, 1]"
model_spNO.171.pth,2.614720220782704,0.4194,"[0, 8, 2, 15, 3, 3, 0]","[0, 1, 0, 12, 0, 0, 0]"
model_spNO.172.pth,2.6142698884010316,0.1,"[2, 2, 1, 3, 1, 1, 0]","[0, 1, 0, 0, 0, 0, 0]"
model_spNO.173.pth,0.07013417780399323,1.0,"[0, 0, 0, 0, 0, 0, 1]","[0, 0, 0, 0, 0, 0, 1]"
model_spNO.174.pth,1.4211779460310936,0.75,"[2, 0, 0, 1, 1, 0, 0]","[2, 0, 0, 1, 0, 0, 0]"
model_spNO.175.pth,1.3925292119383812,0.6,"[0, 2, 0, 3, 0, 0, 0]","[0, 0, 0, 3, 0, 0, 0]"
model_spNO.176.pth,0.964449554681778,0.6667,"[0, 0, 0, 0, 1, 0, 2]","[0, 0, 0, 0, 0, 0, 2]"
model_spNO.177.pth,2.693672535009682,0.6667,"[1, 0, 0, 0, 0, 1, 1]","[1, 0, 0, 0, 0, 0, 1]"
model_spNO.178.pth,2.2229721397161484,0.5,"[1, 0, 0, 1, 0, 0, 0]","[0, 0, 0, 1, 0, 0, 0]"
model_spNO.179.pth,1.9655307947347562,0.3333,"[0, 0, 1, 3, 0, 1, 1]","[0, 0, 0, 1, 0, 1, 0]"
model_spNO.180.pth,2.2266145953908563,0.25,"[0, 0, 0, 1, 0, 3, 0]","[0, 0, 0, 1, 0, 0, 0]"
model_spNO.181.pth,1.1954658324661738,0.6842,"[0, 3, 0, 5, 0, 11, 0]","[0, 1, 0, 4, 0, 8, 0]"
model_spNO.182.pth,1.9451608856519063,0.3333,"[0, 0, 1, 0, 0, 1, 1]","[0, 0, 0, 0, 0, 1, 0]"
model_spNO.183.pth,3.4140931367874146,0.0,"[1, 0, 0, 0, 1, 0, 0]","[0, 0, 0, 0, 0, 0, 0]"
model_spNO.184.pth,1.3427432123023797,0.5294,"[0, 0, 0, 12, 0, 0, 5]","[0, 0, 0, 4, 0, 0, 5]"
model_spNO.185.pth,2.7852988243103027,0.0,"[0, 0, 0, 0, 0, 0, 1]","[0, 0, 0, 0, 0, 0, 0]"
model_spNO.186.pth,0.8949021816253662,0.6,"[0, 0, 0, 3, 0, 2, 0]","[0, 0, 0, 1, 0, 2, 0]"
model_spNO.187.pth,3.9105274342000484,0.25,"[0, 1, 1, 1, 0, 0, 1]","[0, 0, 0, 1, 0, 0, 0]"
model_spNO.188.pth,1.182662347952525,0.6667,"[0, 0, 0, 1, 0, 2, 0]","[0, 0, 0, 1, 0, 1, 0]"
model_spNO.189.pth,2.2613876645369198,0.3704,"[2, 6, 0, 37, 6, 0, 3]","[0, 1, 0, 17, 0, 0, 2]"
model_spNO.190.pth,2.3425380115707717,0.3333,"[1, 0, 0, 0, 1, 1, 3]","[0, 0, 0, 0, 0, 1, 1]"
model_spNO.192.pth,3.315088003873825,0.25,"[0, 2, 0, 1, 0, 0, 1]","[0, 0, 0, 1, 0, 0, 0]"
model_spNO.194.pth,2.7288637677793304,0.5,"[0, 0, 1, 2, 1, 6, 6]","[0, 0, 0, 1, 0, 6, 1]"
model_spNO.195.pth,3.449432998895645,0.1667,"[3, 0, 0, 0, 1, 1, 1]","[0, 0, 0, 0, 0, 0, 1]"
model_spNO.196.pth,1.6371060609817505,0.0,"[0, 0, 0, 2, 0, 0, 4]","[0, 0, 0, 0, 0, 0, 0]"
model_spNO.197.pth,2.780901066462199,0.3333,"[3, 1, 0, 2, 0, 8, 1]","[0, 1, 0, 0, 0, 4, 0]"
model_spNO.198.pth,6.1959099769592285,0.0,"[0, 0, 0, 0, 0, 0, 1]","[0, 0, 0, 0, 0, 0, 0]"
model_spNO.200.pth,2.343306356668472,0.2,"[1, 1, 0, 0, 2, 1, 0]","[0, 0, 0, 0, 0, 1, 0]"
model_spNO.201.pth,2.063798758709295,0.5455,"[1, 0, 0, 1, 0, 7, 2]","[0, 0, 0, 1, 0, 5, 0]"
model_spNO.202.pth,2.8063682789603868,0.3333,"[2, 1, 0, 1, 2, 3, 3]","[0, 0, 0, 1, 0, 0, 3]"
model_spNO.203.pth,3.15116977194945,0.3333,"[0, 1, 2, 0, 1, 1, 1]","[0, 0, 0, 0, 0, 1, 1]"
model_spNO.204.pth,2.7955612937609353,0.3333,"[1, 0, 0, 3, 1, 3, 1]","[0, 0, 0, 0, 0, 3, 0]"
model_spNO.206.pth,2.551875254989642,0.5652,"[0, 0, 2, 0, 0, 18, 3]","[0, 0, 0, 0, 0, 13, 0]"
model_spNO.207.pth,1.9299648003652692,0.3333,"[0, 0, 4, 13, 0, 3, 4]","[0, 0, 0, 5, 0, 1, 2]"
model_spNO.208.pth,1.3094441138207913,0.5,"[0, 0, 0, 5, 0, 5, 0]","[0, 0, 0, 4, 0, 1, 0]"
model_spNO.209.pth,2.6378085017204285,0.3333,"[1, 0, 2, 1, 1, 0, 1]","[0, 0, 1, 1, 0, 0, 0]"
model_spNO.210.pth,5.381999253178947,0.1818,"[3, 1, 2, 1, 3, 0, 12]","[2, 0, 0, 1, 1, 0, 0]"
model_spNO.211.pth,3.3913021869957447,0.5,"[0, 0, 1, 0, 0, 0, 1]","[0, 0, 0, 0, 0, 0, 1]"
model_spNO.212.pth,1.2150051519274712,0.5,"[2, 0, 0, 1, 0, 3, 2]","[0, 0, 0, 0, 0, 3, 1]"
model_spNO.213.pth,0.15973781049251556,1.0,"[0, 0, 0, 0, 0, 1, 0]","[0, 0, 0, 0, 0, 1, 0]"
model_spNO.214.pth,3.053912344574928,0.4,"[1, 0, 0, 1, 0, 1, 2]","[0, 0, 0, 0, 0, 0, 2]"
model_spNO.216.pth,3.5903855516360355,0.1538,"[2, 0, 0, 3, 3, 1, 4]","[1, 0, 0, 0, 0, 0, 1]"
model_spNO.217.pth,3.154651012685564,0.2222,"[1, 3, 0, 2, 0, 2, 1]","[0, 2, 0, 0, 0, 0, 0]"
ALL,[2.5667761079301274],0.3453145057766367,"[54, 78, 52, 225, 60, 175, 135]","[9, 9, 3, 108, 3, 95, 42]"
